"playerID","yearID","teamID","lgID","G","AB","R","H","2B","3B","HR","RBI","SB","SBp","BB","SO","IBB","HBP","GIDP","SH","SF","OBP","SLG","BA","Kp","BBp","RBIp","GIDPp","Rp","SBr"
"boonebr01",1995,"CIN","NL",138,513,63,137,34,2,15,68,5,0.8333,41,84,0,6,14,5,5,0.3256637168141593,0.4288,0.2671,0.14736842105263157,0.07192982456140351,0.1326,0.02729044834307992,0.1228,0.029585798816568046
"bordimi01",1995,"OAK","AL",126,428,46,113,13,0,8,44,11,0.7857,35,48,2,5,8,7,3,0.3248407643312102,0.3505,0.2640,0.100418410041841,0.07322175732217573,0.1028,0.018691588785046728,0.1075,0.07482993197278912
"bransje01",1995,"CIN","NL",122,331,43,86,18,2,12,45,2,0.6667,44,69,14,2,9,1,6,0.34464751958224543,0.4350,0.2598,0.1796875,0.11458333333333333,0.1360,0.027190332326283987,0.1299,0.014925373134328358
"brognri01",1995,"NYN","NL",134,495,72,143,27,2,22,76,0,NULL,39,111,7,2,10,2,2,0.3420074349442379,0.4848,0.2889,0.20555555555555555,0.07222222222222222,0.1535,0.020202020202020204,0.1455,0
"brosisc01",1995,"OAK","AL",123,389,69,102,19,2,17,46,4,0.6667,41,67,0,8,5,1,4,0.3416289592760181,0.4524,0.2622,0.15124153498871332,0.09255079006772009,0.1183,0.012853470437017995,0.1774,0.029850746268656716
"brumfja01",1995,"PIT","NL",116,402,64,109,23,2,4,26,22,0.6471,37,71,0,5,3,0,1,0.3393258426966292,0.3682,0.2711,0.15955056179775282,0.08314606741573034,0.0647,0.007462686567164179,0.1592,0.14965986394557823
"buhneja01",1995,"SEA","AL",126,470,86,123,23,0,40,121,0,0.0000,60,120,7,1,15,2,6,0.3426443202979516,0.5660,0.2617,0.22263450834879406,0.11131725417439703,0.2574,0.031914893617021274,0.1830,0
"bullesc01",1995,"CHN","NL",104,150,19,41,5,7,3,22,8,0.7273,12,30,2,1,4,1,0,0.3312883435582822,0.4600,0.2733,0.18292682926829268,0.07317073170731707,0.1467,0.02666666666666667,0.1267,0.1509433962264151
"burksel01",1995,"COL","NL",103,278,41,74,10,6,14,49,7,0.7000,39,72,0,2,7,1,1,0.359375,0.4964,0.2662,0.22429906542056074,0.12149532710280374,0.1763,0.025179856115107913,0.1475,0.06930693069306931
"butlebr01",1995,"NYN","NL",90,367,54,114,13,7,1,25,21,0.7500,43,42,2,0,4,6,2,0.38106796116504854,0.3924,0.3106,0.10047846889952153,0.10287081339712918,0.0681,0.010899182561307902,0.1471,0.13291139240506328
"caminke01",1995,"SDN","NL",143,526,74,159,33,0,26,94,12,0.7059,69,94,8,1,11,0,6,0.3803986710963455,0.5133,0.3023,0.15614617940199335,0.11461794019933555,0.1787,0.02091254752851711,0.1407,0.05687203791469194
"cangejo01",1995,"HOU","NL",90,201,46,64,5,2,2,18,21,0.8077,48,42,2,4,3,2,1,0.4566929133858268,0.3930,0.3184,0.1640625,0.1875,0.0896,0.014925373134328358,0.2289,0.1810344827586207
"cansejo01",1995,"BOS","AL",102,396,64,121,25,1,24,81,4,1.0000,42,93,4,7,9,0,5,0.37777777777777777,0.5556,0.3056,0.20666666666666667,0.09333333333333334,0.2045,0.022727272727272728,0.1616,0.02666666666666667
"carrch02",1995,"FLO","NL",105,308,54,70,20,0,2,20,25,0.6944,46,49,1,2,2,7,2,0.329608938547486,0.3117,0.2273,0.13424657534246576,0.12602739726027398,0.0649,0.006493506493506494,0.1753,0.21367521367521367
"carrema01",1995,"SFN","NL",117,396,53,119,24,0,17,65,0,0.0000,23,37,1,4,7,0,3,0.3427230046948357,0.4899,0.3005,0.08685446009389672,0.0539906103286385,0.1641,0.017676767676767676,0.1338,0
"cartejo01",1995,"TOR","AL",139,558,70,141,23,0,25,76,12,0.9231,37,87,5,3,11,0,5,0.30016583747927034,0.4283,0.2527,0.14427860696517414,0.06135986733001658,0.1362,0.01971326164874552,0.1254,0.07453416149068323
"castivi02",1995,"COL","NL",139,527,82,163,34,2,32,90,2,0.2000,30,87,2,4,15,4,6,0.3474426807760141,0.5636,0.3093,0.15236427320490367,0.05253940455341506,0.1708,0.028462998102466792,0.1556,0.011976047904191617
"cedenan01",1995,"SDN","NL",120,390,42,82,16,2,6,31,5,0.6250,28,92,7,5,12,0,1,0.27122641509433965,0.3077,0.2103,0.2169811320754717,0.0660377358490566,0.0795,0.03076923076923077,0.1077,0.04310344827586207
"cirilje01",1995,"ML4","AL",125,328,57,91,19,4,9,39,7,0.7778,47,42,0,4,8,1,4,0.370757180156658,0.4421,0.2774,0.109375,0.12239583333333333,0.1189,0.024390243902439025,0.1738,0.05263157894736842
"clarkwi02",1995,"TEX","AL",123,454,85,137,27,3,16,92,0,0.0000,68,50,6,4,7,0,11,0.3891992551210428,0.4802,0.3018,0.0931098696461825,0.1266294227188082,0.2026,0.015418502202643172,0.1872,0
"claytro01",1995,"SFN","NL",138,509,56,124,29,3,5,58,24,0.7273,38,109,1,3,7,4,3,0.298372513562387,0.3418,0.2436,0.19569120287253142,0.06822262118491922,0.1139,0.0137524557956778,0.1100,0.14906832298136646
"colbrgr01",1995,"FLO","NL",138,528,70,146,22,1,23,89,11,0.7857,22,69,4,6,15,0,4,0.3107142857142857,0.4527,0.2765,0.12321428571428572,0.039285714285714285,0.1686,0.028409090909090908,0.1326,0.07096774193548387
"coninje01",1995,"FLO","NL",133,483,72,146,26,2,25,105,2,1.0000,66,94,5,1,13,0,12,0.3790035587188612,0.5197,0.3023,0.16725978647686832,0.11743772241992882,0.2174,0.026915113871635612,0.1491,0.010362694300518135
